"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
65,"INVX","Innovex International Inc","Energy","Oil & Gas Equipment & Services","USA",1615.67,15.97,23.44,-0.68%,361383
66,"NEXT","NextDecade Corporation","Energy","Oil & Gas Equipment & Services","USA",1628.53,,6.15,-1.28%,2196124
67,"XPRO","Expro Group Holdings N.V","Energy","Oil & Gas Equipment & Services","USA",1688.64,25.16,14.87,0.13%,674199
68,"EFXT","Enerflex Ltd","Energy","Oil & Gas Equipment & Services","Canada",1757.57,13.09,14.43,2.20%,381549
69,"TNK","Teekay Tankers Ltd","Energy","Oil & Gas Midstream","Bermuda",1906.90,6.13,55.21,-0.47%,386525
70,"GEL","Genesis Energy L.P","Energy","Oil & Gas Midstream","USA",1972.90,,16.11,-0.62%,254328
71,"SDRL","Seadrill Ltd","Energy","Oil & Gas Drilling","Bermuda",1988.35,64.08,32.00,-1.69%,508847
72,"TALO","Talos Energy Inc","Energy","Oil & Gas E&P","USA",2014.37,,11.85,0.59%,1764338
73,"DHT","DHT Holdings Inc","Energy","Oil & Gas Midstream","Bermuda",2048.72,10.27,12.76,0.08%,1645158
74,"MNR","Mach Natural Resources LP","Energy","Oil & Gas E&P","USA",2103.60,13.01,12.49,0.56%,287310
75,"TRMD","Torm Plc","Energy","Oil & Gas Midstream","United Kingdom",2152.25,7.68,21.24,-0.14%,309785
76,"TGS","Transportadora de Gas del Sur ADR","Energy","Oil & Gas Integrated","Argentina",2177.05,12.79,31.32,-1.14%,188596
77,"DK","Delek US Holdings Inc","Energy","Oil & Gas Refining & Marketing","USA",2186.48,,36.41,-3.29%,1029685
78,"PARR","Par Pacific Holdings Inc","Energy","Oil & Gas Refining & Marketing","USA",2197.72,9.19,43.70,-0.86%,670142
79,"SUNC","SunocoCorp LLC","Energy","Oil & Gas Midstream","USA",2200.76,,51.24,-1.16%,526310
80,"SM","SM Energy Co","Energy","Oil & Gas E&P","USA",2304.83,3.18,20.12,-0.59%,3363474
81,"PTEN","Patterson-UTI Energy Inc","Energy","Oil & Gas Drilling","USA",2396.81,,6.32,-2.47%,4979063
82,"NOG","Northern Oil and Gas Inc","Energy","Oil & Gas E&P","USA",2425.43,14.02,24.85,0.85%,3120373
83,"DNN","Denison Mines Corp","Energy","Uranium","Canada",2458.57,,2.74,-3.52%,50637424
84,"BTE","Baytex Energy Corp","Energy","Oil & Gas E&P","Canada",2496.97,16.34,3.25,1.56%,17644564
85,"INSW","International Seaways Inc","Energy","Oil & Gas Midstream","USA",2525.54,11.64,51.13,-0.97%,519530
86,"CRGY","Crescent Energy Co","Energy","Oil & Gas E&P","USA",2541.22,,9.98,2.15%,3070786
87,"CIVI","Civitas Resources Inc","Energy","Oil & Gas E&P","USA",2592.36,4.42,30.39,-0.23%,1420914
88,"OII","Oceaneering International, Inc","Energy","Oil & Gas Equipment & Services","USA",2687.94,11.78,26.94,-1.10%,1059300
89,"BKV","BKV Corp","Energy","Oil & Gas E&P","USA",2783.13,56.01,29.00,1.12%,1227495
90,"TDW","Tidewater Inc","Energy","Oil & Gas Equipment & Services","USA",2856.32,19.43,57.63,-3.14%,619890
91,"STNG","Scorpio Tankers Inc","Energy","Oil & Gas Midstream","Monaco",2893.02,9.46,55.89,-0.09%,975466
92,"HP","Helmerich & Payne, Inc","Energy","Oil & Gas Drilling","USA",2941.64,,29.88,-0.63%,1112940
93,"USAC","USA Compression Partners LP","Energy","Oil & Gas Equipment & Services","USA",2977.58,30.28,24.27,-0.86%,284293
94,"ARLP","Alliance Resource Partners, LP","Energy","Thermal Coal","USA",3114.38,12.82,24.25,1.93%,319147
95,"BSM","Black Stone Minerals L.P","Energy","Oil & Gas E&P","USA",3120.73,12.83,14.73,1.45%,413455
96,"CMBT","CMB.Tech NV","Energy","Oil & Gas Midstream","Belgium",3136.74,13.03,10.81,-1.10%,1338674
97,"KGS","Kodiak Gas Services Inc","Energy","Oil & Gas Equipment & Services","USA",3148.88,46.51,36.75,1.02%,1504429
98,"LBRT","Liberty Energy Inc","Energy","Oil & Gas Equipment & Services","USA",3158.36,17.33,19.50,-0.86%,2678345
99,"EE","Excelerate Energy Inc","Energy","Oil & Gas Midstream","USA",3269.27,25.27,28.67,-0.66%,287920
100,"CVI","CVR Energy Inc","Energy","Oil & Gas Refining & Marketing","USA",3371.80,20.43,33.54,-1.53%,658879
101,"BTU","Peabody Energy Corp","Energy","Thermal Coal","USA",3528.83,,29.02,-1.66%,2491700
102,"WHD","Cactus Inc","Energy","Oil & Gas Equipment & Services","USA",3674.58,18.30,46.02,0.13%,436600
103,"UUUU","Energy Fuels Inc","Energy","Uranium","USA",3704.05,,15.61,-4.35%,11619202
104,"SEI","Solaris Energy Infrastructure Inc","Energy","Oil & Gas Equipment & Services","USA",3789.80,60.80,55.36,0.40%,1992977
105,"PBF","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing","USA",3869.31,,33.40,0.06%,1863848
106,"CRC","California Resources Corporation","Energy","Oil & Gas E&P","USA",3988.04,11.08,47.64,-0.21%,682101
107,"GLNG","Golar Lng","Energy","Oil & Gas Midstream","Bermuda",4003.90,,38.27,-1.16%,830235
108,"VAL","Valaris Ltd","Energy","Oil & Gas Equipment & Services","Bermuda",4169.77,10.69,59.93,0.55%,1098823
109,"GPOR","Gulfport Energy Corp","Energy","Oil & Gas E&P","USA",4183.44,,216.57,-0.03%,246531
110,"UGP","Ultrapar Participacoes S.A. ADR","Energy","Oil & Gas Refining & Marketing","Brazil",4263.16,8.47,3.99,-8.49%,3020425
111,"CNR","Core Natural Resources Inc","Energy","Thermal Coal","USA",4266.71,,83.27,-0.92%,570453
112,"AROC","Archrock Inc","Energy","Oil & Gas Equipment & Services","USA",4371.97,16.59,24.93,-0.84%,1846453
113,"MGY","Magnolia Oil & Gas Corp","Energy","Oil & Gas E&P","USA",4450.87,13.12,23.59,0.77%,2017956
114,"LB","Landbridge Company LLC","Energy","Oil & Gas Equipment & Services","USA",4553.80,73.85,59.58,0.39%,210679
115,"MUR","Murphy Oil Corp","Energy","Oil & Gas E&P","USA",4674.70,33.38,32.75,0.77%,1434531
116,"IEP","Icahn Enterprises L P","Energy","Oil & Gas Refining & Marketing","USA",4741.65,,7.90,-1.99%,884761
117,"VIST","Vista Energy S.A.B. de C.V ADR","Energy","Oil & Gas E&P","Mexico",4843.78,7.46,50.88,-1.76%,1129717
118,"LEU","Centrus Energy Corp","Energy","Uranium","USA",4848.59,40.46,266.23,-4.45%,1088678
119,"CSAN","Cosan S.A ADR","Energy","Oil & Gas Refining & Marketing","Brazil",4879.71,,4.93,-9.54%,3403448
120,"RIG","Transocean Ltd","Energy","Oil & Gas Drilling","Switzerland",4890.40,,4.44,0.23%,20598533
121,"FRO","Frontline Plc","Energy","Oil & Gas Midstream","Cyprus",5204.92,23.89,23.38,0.60%,2082996
122,"NE","Noble Corp Plc","Energy","Oil & Gas Drilling","USA",5211.76,23.52,32.81,0.86%,1326441
123,"WFRD","Weatherford International plc","Energy","Oil & Gas Equipment & Services","USA",5482.33,13.80,76.43,-0.84%,551497
124,"CNX","CNX Resources Corp","Energy","Oil & Gas E&P","USA",5514.66,28.56,40.90,1.26%,2533689
125,"CHRD","Chord Energy Corp","Energy","Oil & Gas E&P","USA",5552.90,37.79,97.65,0.99%,618981
126,"MTDR","Matador Resources Co","Energy","Oil & Gas E&P","USA",5619.52,7.23,45.22,1.32%,1388133
127,"SOBO","South Bow Corp","Energy","Oil & Gas Midstream","Canada",5776.85,18.89,27.74,1.02%,557023
128,"NOV","NOV Inc","Energy","Oil & Gas Equipment & Services","USA",5898.05,16.15,16.17,-0.80%,2355309
129,"KNTK","Kinetik Holdings Inc","Energy","Oil & Gas Midstream","USA",5960.87,90.93,36.89,-0.30%,800704
130,"NXE","NexGen Energy Ltd","Energy","Uranium","Canada",6159.41,,9.41,-4.95%,6741307
131,"UEC","Uranium Energy Corp","Energy","Uranium","USA",6648.96,,13.76,-2.96%,9287582
132,"HESM","Hess Midstream LP","Energy","Oil & Gas Midstream","USA",7106.66,12.16,34.22,0.15%,806148
133,"NFG","National Fuel Gas Co","Energy","Oil & Gas Integrated","USA",7392.71,14.38,81.79,-0.51%,478562
134,"CRK","Comstock Resources, Inc","Energy","Oil & Gas E&P","USA",8020.91,122.85,27.37,2.01%,2233583
135,"SUN","Sunoco LP","Energy","Oil & Gas Refining & Marketing","USA",8329.09,18.55,54.43,-0.29%,413802
136,"AM","Antero Midstream Corp","Energy","Oil & Gas Midstream","USA",8796.80,18.93,18.47,1.37%,2194567
137,"DINO","HF Sinclair Corp","Energy","Oil & Gas Refining & Marketing","USA",9210.29,24.09,50.07,-0.64%,2680559
138,"RRC","Range Resources Corp","Energy","Oil & Gas E&P","USA",9382.66,16.63,39.60,-0.20%,4951585
139,"APA","APA Corporation","Energy","Oil & Gas E&P","USA",9611.54,6.52,27.10,1.46%,6263245
140,"OVV","Ovintiv Inc","Energy","Oil & Gas E&P","USA",10707.77,46.33,42.28,0.00%,2944739
141,"AR","Antero Resources Corp","Energy","Oil & Gas E&P","USA",11337.15,21.05,36.75,0.41%,5218315
142,"DTM","DT Midstream Inc","Energy","Oil & Gas Midstream","USA",12359.48,30.82,121.56,0.02%,835475
143,"PR","Permian Resources Corp","Energy","Oil & Gas E&P","USA",12384.99,13.63,14.92,0.47%,9406349
144,"PAA","Plains All American Pipeline LP","Energy","Oil & Gas Midstream","USA",12508.47,14.38,17.73,-0.23%,2448244
145,"YPF","YPF ADR","Energy","Oil & Gas Integrated","Argentina",14074.78,,35.79,-2.32%,1604241
146,"PAGP","Plains GP Holdings LP","Energy","Oil & Gas Midstream","USA",14391.12,21.56,18.89,-0.05%,1641387
147,"VNOM","Viper Energy Inc","Energy","Oil & Gas Midstream","USA",14614.05,16.83,40.65,1.57%,2691948
148,"WES","Western Midstream Partners LP","Energy","Oil & Gas Midstream","USA",16315.75,11.83,39.99,-0.77%,1699910
149,"VG","Venture Global Inc","Energy","Oil & Gas Midstream","USA",16696.11,8.02,6.82,-2.85%,10293057
150,"FTI","TechnipFMC plc","Energy","Oil & Gas Equipment & Services","USA",18616.01,20.63,46.02,-1.05%,2161914
151,"EC","Ecopetrol SA ADR","Energy","Oil & Gas Integrated","Colombia",20332.26,7.49,9.89,-1.69%,2846853
152,"CTRA","Coterra Energy Inc","Energy","Oil & Gas E&P","USA",20854.13,12.64,27.39,0.18%,7182731
153,"TS","Tenaris S.A. ADR","Energy","Oil & Gas Equipment & Services","Luxembourg",21249.02,10.96,40.88,-1.11%,777260
154,"PBA","Pembina Pipeline Corporation","Energy","Oil & Gas Midstream","Canada",22986.34,19.80,39.56,0.79%,883029
155,"DVN","Devon Energy Corp","Energy","Oil & Gas E&P","USA",23504.93,8.81,37.47,-0.64%,7670786
156,"HAL","Halliburton Co","Energy","Oil & Gas Equipment & Services","USA",23944.28,18.84,28.45,2.23%,13609709
157,"EXE","Expand Energy Corp","Energy","Oil & Gas E&P","USA",29261.53,34.92,122.86,0.63%,3725090
158,"PBR-A","Petroleo Brasileiro S.A. Petrobras ADR","Energy","Oil & Gas Integrated","Brazil",31290.14,5.36,11.49,-6.43%,20813394
159,"WDS","Woodside Energy Group Ltd ADR","Energy","Oil & Gas E&P","Australia",31452.76,10.76,16.58,-1.84%,551616
160,"CVE","Cenovus Energy Inc","Energy","Oil & Gas Integrated","Canada",34975.21,14.87,18.31,-0.11%,7179027
161,"EQT","EQT Corp","Energy","Oil & Gas E&P","USA",37868.39,20.70,60.68,1.02%,9006782
162,"TRGP","Targa Resources Corp","Energy","Oil & Gas Midstream","USA",38797.39,24.30,180.74,0.40%,1494433
163,"CCJ","Cameco Corp","Energy","Uranium","Canada",39739.87,105.36,91.27,-3.00%,4654509
164,"OXY","Occidental Petroleum Corp","Energy","Oil & Gas E&P","USA",41802.48,30.88,42.43,-0.56%,10015025
165,"LNG","Cheniere Energy Inc","Energy","Oil & Gas Midstream","USA",44271.64,11.44,205.69,-1.06%,2280430
166,"PBR","Petroleo Brasileiro S.A. Petrobras ADR","Energy","Oil & Gas Integrated","Brazil",45137.06,5.66,12.13,-5.82%,41176600
167,"FANG","Diamondback Energy Inc","Energy","Oil & Gas E&P","USA",45442.97,11.02,158.60,-0.57%,2048107
168,"IMO","Imperial Oil Ltd","Energy","Oil & Gas Integrated","Canada",45909.86,16.58,92.40,-1.82%,574273
169,"OKE","Oneok Inc","Energy","Oil & Gas Midstream","USA",48035.54,14.04,76.34,0.22%,3288201
170,"BKR","Baker Hughes Co","Energy","Oil & Gas Equipment & Services","USA",48549.27,16.94,49.20,-2.79%,8762642
171,"VLO","Valero Energy Corp","Energy","Oil & Gas Refining & Marketing","USA",53114.36,36.25,174.14,-0.46%,2202951
