"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
53,"TLN","Talen Energy Corp","Utilities","Utilities - Independent Power Producers","USA",16184.46,76.95,354.24,-3.72%,1361598
54,"OKLO","Oklo Inc","Utilities","Utilities - Independent Power Producers","USA",16354.38,,104.67,-6.25%,14573818
55,"BIP","Brookfield Infrastructure Partners L.P","Utilities","Utilities - Diversified","Bermuda",16448.00,55.87,35.60,-0.64%,616000
56,"LNT","Alliant Energy Corp","Utilities","Utilities - Regulated Electric","USA",16837.01,20.61,65.50,-0.32%,1306677
57,"EVRG","Evergy Inc","Utilities","Utilities - Regulated Electric","USA",16870.09,20.11,73.28,-0.72%,1766201
58,"SBS","Companhia de Saneamento Basico do Estado de Sao Paulo. ADR","Utilities","Utilities - Regulated Water","Brazil",17128.76,13.46,25.06,-6.77%,3044948
59,"NI","NiSource Inc","Utilities","Utilities - Regulated Gas","USA",20042.21,22.18,42.00,0.26%,2841118
60,"CMS","CMS Energy Corporation","Utilities","Utilities - Regulated Electric","USA",21634.09,20.52,71.09,-0.85%,1882753
61,"EIX","Edison International","Utilities","Utilities - Regulated Electric","USA",22352.28,7.61,58.09,0.94%,2855539
62,"KEP","Korea Electric Power Corporation. ADR","Utilities","Utilities - Regulated Electric","South Korea",22494.45,3.84,17.52,2.16%,384614
63,"AXIA","Axia Energia ADR","Utilities","Utilities - Renewable","Brazil",22800.04,,11.54,-7.53%,5239018
64,"ES","Eversource Energy","Utilities","Utilities - Regulated Electric","USA",25040.12,18.34,66.74,-0.48%,2980012
65,"PPL","PPL Corp","Utilities","Utilities - Regulated Electric","USA",25047.57,23.04,33.86,-0.88%,9133834
66,"CNP","Centerpoint Energy Inc","Utilities","Utilities - Regulated Electric","USA",25089.73,24.26,38.43,-0.29%,4328715
67,"AWK","American Water Works Co. Inc","Utilities","Utilities - Regulated Water","USA",25268.50,22.71,129.50,0.44%,1942764
68,"FTS","Fortis Inc","Utilities","Utilities - Regulated Electric","Canada",25825.94,21.27,51.10,0.31%,538932
69,"FE","Firstenergy Corp","Utilities","Utilities - Regulated Electric","USA",25942.96,19.51,44.91,-0.51%,4692832
