"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
440,"WAB","Westinghouse Air Brake Technologies Corp","Industrials","Railroads","USA",36747.25,31.24,214.95,0.43%,523003
441,"CPRT","Copart, Inc","Industrials","Specialty Business Services","USA",37481.65,23.75,38.72,-0.21%,8192385
442,"HEI","Heico Corp","Industrials","Aerospace & Defense","USA",37744.60,68.42,312.20,-1.09%,240228
443,"AXON","Axon Enterprise Inc","Industrials","Aerospace & Defense","USA",43475.72,174.41,550.95,0.06%,389684
444,"DAL","Delta Air Lines, Inc","Industrials","Airlines","USA",43813.80,9.46,67.10,-0.21%,7895552
445,"WCN","Waste Connections Inc","Industrials","Waste Management","Canada",44319.62,71.97,173.11,-0.08%,744401
446,"ROK","Rockwell Automation Inc","Industrials","Specialty Industrial Machinery","USA",45391.08,52.78,404.29,0.10%,780316
447,"CARR","Carrier Global Corp","Industrials","Building Products & Equipment","USA",45723.57,21.79,54.29,-0.39%,9063920
448,"AME","Ametek Inc","Industrials","Specialty Industrial Machinery","USA",45994.73,31.52,199.80,0.29%,1562450
449,"GWW","W.W. Grainger Inc","Industrials","Industrial Distribution","USA",46386.28,27.23,975.54,0.68%,208263
450,"FER","Ferrovial S.E","Industrials","Engineering & Construction","Netherlands",47511.89,13.09,66.03,-0.08%,852812
451,"FAST","Fastenal Co","Industrials","Industrial Distribution","USA",47643.48,38.91,41.50,-0.60%,7062806
452,"FERG","Ferguson Enterprises Inc","Industrials","Industrial Distribution","USA",48720.10,26.62,248.38,-0.46%,1584918
453,"URI","United Rentals, Inc","Industrials","Rental & Leasing Services","USA",50707.50,20.50,796.91,-1.34%,697537
454,"LHX","L3Harris Technologies Inc","Industrials","Aerospace & Defense","USA",52094.22,29.90,278.50,-0.72%,710973
455,"PCAR","Paccar Inc","Industrials","Farm & Heavy Construction Machinery","USA",57945.80,21.60,110.33,1.69%,3093878
456,"TRI","Thomson-Reuters Corp","Industrials","Specialty Business Services","Canada",59350.55,34.30,133.42,-0.19%,723505
457,"CNI","Canadian National Railway Co","Industrials","Railroads","Canada",60417.48,18.64,98.16,-0.41%,944133
458,"FDX","Fedex Corp","Industrials","Integrated Freight & Logistics","USA",64720.23,16.03,274.29,0.09%,1034046
459,"CP","Canadian Pacific Kansas City Limited","Industrials","Railroads","Canada",66445.22,22.39,73.76,-0.26%,2993419
460,"RSG","Republic Services, Inc","Industrials","Waste Management","USA",67029.81,32.18,216.53,0.66%,1438021
461,"CSX","CSX Corp","Industrials","Railroads","USA",67595.57,23.60,36.30,0.33%,10499834
462,"PWR","Quanta Services, Inc","Industrials","Engineering & Construction","USA",68688.75,68.34,460.64,-0.90%,728790
463,"JCI","Johnson Controls International plc","Industrials","Building Products & Equipment","Ireland",69810.02,22.43,114.23,0.03%,4329307
464,"CMI","Cummins Inc","Industrials","Specialty Industrial Machinery","USA",70488.21,26.51,510.65,-0.02%,1063433
465,"NSC","Norfolk Southern Corp","Industrials","Railroads","USA",71990.78,22.44,294.19,-0.32%,1045061
466,"VRT","Vertiv Holdings Co","Industrials","Electrical Equipment & Parts","USA",72269.59,71.25,189.02,3.55%,7445754
467,"ITW","Illinois Tool Works, Inc","Industrials","Specialty Industrial Machinery","USA",72437.97,24.23,249.70,0.13%,782716
468,"RELX","RELX Plc ADR","Industrials","Specialty Business Services","United Kingdom",73350.14,30.14,40.32,-0.54%,2277996
469,"CTAS","Cintas Corporation","Industrials","Specialty Business Services","USA",75048.61,41.50,186.75,1.48%,1709170
470,"TDG","Transdigm Group Incorporated","Industrials","Aerospace & Defense","USA",75853.25,41.97,1346.86,-0.97%,178649
471,"HWM","Howmet Aerospace Inc","Industrials","Aerospace & Defense","USA",76785.85,53.60,190.98,-2.70%,2754339
472,"EMR","Emerson Electric Co","Industrials","Specialty Industrial Machinery","USA",77185.70,33.95,137.39,0.55%,1578770
473,"NOC","Northrop Grumman Corp","Industrials","Aerospace & Defense","USA",78349.03,19.71,548.97,-0.73%,785551
474,"UPS","United Parcel Service, Inc","Industrials","Integrated Freight & Logistics","USA",80486.34,14.66,94.87,0.12%,5523608
475,"WM","Waste Management, Inc","Industrials","Waste Management","USA",86044.35,33.66,213.58,-0.28%,1277409
476,"MMM","3M Co","Industrials","Conglomerates","USA",88969.57,26.76,167.48,-1.06%,3021437
477,"TT","Trane Technologies plc","Industrials","Building Products & Equipment","Ireland",89012.68,30.89,401.43,-0.97%,1166572
478,"GD","General Dynamics Corp","Industrials","Aerospace & Defense","USA",91114.32,21.86,337.31,-1.28%,1317905
479,"LMT","Lockheed Martin Corp","Industrials","Aerospace & Defense","USA",104638.09,25.24,452.20,0.86%,1290903
480,"PH","Parker-Hannifin Corp","Industrials","Specialty Industrial Machinery","USA",111044.30,31.34,880.00,0.73%,592351
481,"HON","Honeywell International Inc","Industrials","Conglomerates","USA",121472.97,20.16,191.33,-0.47%,4294581
482,"DE","Deere & Co","Industrials","Farm & Heavy Construction Machinery","USA",128436.20,25.67,475.11,-1.64%,1224918
483,"ETN","Eaton Corporation plc","Industrials","Specialty Industrial Machinery","Ireland",131147.14,33.77,337.66,-0.37%,1845606
484,"UNP","Union Pacific Corp","Industrials","Railroads","USA",139576.69,19.97,235.31,-0.83%,2494724
485,"BA","Boeing Co","Industrials","Aerospace & Defense","USA",153455.67,,201.89,0.01%,6857199
486,"GEV","GE Vernova Inc","Industrials","Specialty Industrial Machinery","USA",171290.04,102.31,631.32,0.35%,2348031
487,"RTX","RTX Corp","Industrials","Aerospace & Defense","USA",229406.09,35.13,171.10,-0.12%,3032825
488,"CAT","Caterpillar Inc","Industrials","Farm & Heavy Construction Machinery","USA",282271.24,30.95,603.17,0.67%,2177278
489,"GE","GE Aerospace","Industrials","Aerospace & Defense","USA",299503.85,37.86,283.94,-2.71%,5220332
490,"SMJF","SMJ International Holdings Inc","Industrials","Building Products & Equipment","USA",,,4.40,-2.44%,190794
491,"ICON","Icon Energy Corp","Industrials","Marine Shipping","USA",,,0.80,-3.41%,143156
492,"RUBI","Rubico Inc","Industrials","Marine Shipping","USA",,,2.65,-6.69%,1335597
493,"OFAL","OFA Group","Industrials","Engineering & Construction","USA",,,0.84,2.32%,16615
494,"ETS","Elite Express Holding Inc","Industrials","Trucking","USA",,,0.61,-0.57%,32636
495,"FOFO","Hang Feng Technology Innovation Co Ltd","Industrials","Consulting Services","USA",,,12.40,1.64%,46859
