"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
181,"RS","Reliance Inc","Basic Materials","Steel","USA",14944.66,20.90,285.82,-0.79%,272210
182,"AGI","Alamos Gold Inc","Basic Materials","Gold","Canada",15178.14,28.30,36.08,-0.03%,1689955
183,"DOW","Dow Inc","Basic Materials","Chemicals","USA",16319.22,,22.96,0.39%,9023708
184,"CX","Cemex S.A.B. De C.V. ADR","Basic Materials","Building Materials","Mexico",16371.71,11.69,10.83,-1.37%,2910083
185,"DD","DuPont de Nemours Inc","Basic Materials","Specialty Chemicals","USA",16972.69,,40.51,1.73%,4490858
186,"RGLD","Royal Gold, Inc","Basic Materials","Gold","USA",17019.71,27.65,201.66,-0.71%,573384
187,"IFF","International Flavors & Fragrances Inc","Basic Materials","Specialty Chemicals","USA",17204.55,,67.18,1.04%,2046881
188,"PAAS","Pan American Silver Corp","Basic Materials","Gold","Canada",18734.80,25.66,44.39,0.43%,4561173
189,"TECK","Teck Resources Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",22003.17,26.11,45.07,0.42%,4389181
190,"PPG","PPG Industries, Inc","Basic Materials","Specialty Chemicals","USA",22671.13,18.03,101.03,0.36%,2474694
191,"STLD","Steel Dynamics Inc","Basic Materials","Steel","USA",24127.88,21.92,165.22,-1.72%,1444067
192,"NTR","Nutrien Ltd","Basic Materials","Agricultural Inputs","Canada",29164.74,16.26,60.34,0.48%,2638661
193,"AMRZ","Amrize Ltd","Basic Materials","Building Materials","Switzerland",30256.77,25.70,54.74,3.79%,6432339
194,"MT","ArcelorMittal","Basic Materials","Steel","Luxembourg",32142.95,12.90,42.26,-0.87%,897281
195,"KGC","Kinross Gold Corp","Basic Materials","Gold","Canada",33008.53,19.04,27.28,-0.22%,7122849
196,"NUE","Nucor Corp","Basic Materials","Steel","USA",36491.51,22.41,159.45,-1.90%,1974085
197,"MLM","Martin Marietta Materials, Inc","Basic Materials","Building Materials","USA",37653.97,32.89,624.37,0.90%,354857
198,"GFI","Gold Fields Ltd ADR","Basic Materials","Gold","South Africa",37778.79,20.24,42.21,1.42%,2913301
199,"VMC","Vulcan Materials Co","Basic Materials","Building Materials","USA",38961.44,35.05,294.87,0.42%,846640
200,"FNV","Franco-Nevada Corporation","Basic Materials","Gold","Canada",39167.11,42.61,203.17,0.12%,433849
201,"AU","AngloGold Ashanti Plc","Basic Materials","Gold","United Kingdom",41616.18,35.39,82.45,-1.12%,3348941
202,"CTVA","Corteva Inc","Basic Materials","Agricultural Inputs","USA",44598.31,28.18,66.00,-0.44%,5353349
203,"WPM","Wheaton Precious Metals Corp","Basic Materials","Gold","Canada",49075.02,49.06,108.09,-0.65%,1391349
204,"VALE","Vale S.A. ADR","Basic Materials","Other Industrial Metals & Mining","Brazil",55067.26,10.20,12.90,-4.87%,77142918
205,"APD","Air Products & Chemicals Inc","Basic Materials","Specialty Chemicals","USA",58027.05,,260.69,-0.36%,1315574
206,"FCX","Freeport-McMoRan Inc","Basic Materials","Copper","USA",64904.07,31.78,45.20,1.32%,20208133
207,"B","Barrick Mining Corp","Basic Materials","Gold","Canada",69252.13,19.71,41.04,0.32%,10209356
208,"ECL","Ecolab, Inc","Basic Materials","Specialty Chemicals","USA",73553.47,37.35,259.69,-1.79%,1550994
209,"CRH","CRH Plc","Basic Materials","Building Materials","USA",80090.63,23.78,119.49,-1.29%,9165211
210,"SHW","Sherwin-Williams Co","Basic Materials","Specialty Chemicals","USA",82575.80,32.53,333.11,-0.67%,2011891
211,"AEM","Agnico Eagle Mines Ltd","Basic Materials","Gold","Canada",84761.10,24.66,168.83,-1.52%,2477032
212,"RIO","Rio Tinto plc ADR","Basic Materials","Other Industrial Metals & Mining","United Kingdom",91620.89,11.59,73.06,-0.91%,4658006
213,"NEM","Newmont Corp","Basic Materials","Gold","USA",97951.76,13.95,89.76,-1.06%,6500403
214,"SCCO","Southern Copper Corporation","Basic Materials","Copper","USA",115009.20,30.19,140.41,0.33%,1257741
215,"BHP","BHP Group Limited ADR","Basic Materials","Other Industrial Metals & Mining","Australia",149426.03,16.58,58.85,-0.20%,3652245
216,"LIN","Linde Plc","Basic Materials","Specialty Chemicals","United Kingdom",186578.79,26.75,399.57,-1.03%,3183625
