"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
400,"LOW","Lowe's Cos., Inc","Consumer Cyclical","Home Improvement Retail","USA",139379.60,20.60,248.47,0.93%,2642080
401,"PDD","PDD Holdings Inc ADR","Consumer Cyclical","Internet Retail","China",163744.69,12.28,117.62,0.68%,4190877
402,"BKNG","Booking Holdings Inc","Consumer Cyclical","Travel Services","USA",167520.42,33.78,5197.04,3.38%,303851
403,"TJX","TJX Companies, Inc","Consumer Cyclical","Apparel Retail","USA",170212.41,33.87,153.28,1.98%,6075285
404,"MCD","McDonald's Corp","Consumer Cyclical","Restaurants","USA",221643.81,26.54,311.23,0.87%,3147587
405,"TM","Toyota Motor Corporation ADR","Consumer Cyclical","Auto Manufacturers","Japan",256184.51,8.31,196.56,-0.86%,271186
406,"HD","Home Depot, Inc","Consumer Cyclical","Home Improvement Retail","USA",353018.31,24.18,354.61,0.98%,5959500
407,"BABA","Alibaba Group Holding Ltd ADR","Consumer Cyclical","Internet Retail","China",355518.66,21.80,158.32,0.56%,6277149
408,"TSLA","Tesla Inc","Consumer Cyclical","Auto Manufacturers","USA",1513247.80,304.02,455.00,0.10%,56427522
409,"AMZN","Amazon.com Inc","Consumer Cyclical","Internet Retail","USA",2453725.22,32.43,229.53,0.18%,33117377
410,"JEM","707 Cayman Holdings Ltd","Consumer Cyclical","Apparel Retail","USA",,,0.23,2.93%,113140
411,"PASW","Ping An Biomedical Co Ltd","Consumer Cyclical","Textile Manufacturing","USA",,,0.51,2.35%,53476
412,"JBDI","JBDI Holdings Ltd","Consumer Cyclical","Specialty Retail","USA",,,0.90,-3.39%,3812
